,participant_id,plz,employment_status,semester,vl,semester_time,days_present
0,254,93051,prof,ws,True,ws_vl,5
1,254,93051,prof,ws,False,ws_free,5
2,254,93051,prof,ss,True,ss_vl,5
3,254,93051,prof,ss,False,ss_free,5
4,255,93164,wimi,ws,True,ws_vl,4
5,255,93164,wimi,ws,False,ws_free,4
6,255,93164,wimi,ss,True,ss_vl,4
7,255,93164,wimi,ss,False,ss_free,4
8,256,93051,niwi,ws,True,ws_vl,4
9,256,93051,niwi,ws,False,ws_free,4
10,256,93051,niwi,ss,True,ss_vl,4
11,256,93051,niwi,ss,False,ss_free,4
12,258,93047,prof,ws,True,ws_vl,5
13,258,93047,prof,ws,False,ws_free,5
14,258,93047,prof,ss,True,ss_vl,5
15,258,93047,prof,ss,False,ss_free,5
16,259,94345,niwi,ws,True,ws_vl,3
17,259,94345,niwi,ws,False,ws_free,3
18,259,94345,niwi,ss,True,ss_vl,3
19,259,94345,niwi,ss,False,ss_free,3
20,260,84056,niwi,ws,True,ws_vl,2
21,260,84056,niwi,ws,False,ws_free,2
22,260,84056,niwi,ss,True,ss_vl,2
23,260,84056,niwi,ss,False,ss_free,2
24,261,93051,wimi,ws,True,ws_vl,4
25,261,93051,wimi,ws,False,ws_free,3
26,262,93047,student,ws,True,ws_vl,5
27,262,93047,student,ws,False,ws_free,5
28,262,93047,student,ss,True,ss_vl,5
29,262,93047,student,ss,False,ss_free,5
30,263,93051,wimi,ws,True,ws_vl,5
31,263,93051,wimi,ws,False,ws_free,5
32,263,93051,wimi,ss,True,ss_vl,5
33,263,93051,wimi,ss,False,ss_free,5
34,265,91052,niwi,ws,True,ws_vl,2
35,265,91052,niwi,ws,False,ws_free,2
36,265,91052,niwi,ss,True,ss_vl,2
37,265,91052,niwi,ss,False,ss_free,2
38,266,93352,niwi,ws,True,ws_vl,0
39,266,93352,niwi,ws,False,ws_free,0
40,266,93352,niwi,ss,True,ss_vl,0
41,266,93352,niwi,ss,False,ss_free,0
42,267,93051,niwi,ws,True,ws_vl,5
43,267,93051,niwi,ws,False,ws_free,5
44,267,93051,niwi,ss,True,ss_vl,5
45,267,93051,niwi,ss,False,ss_free,5
46,268,84030,niwi,ws,True,ws_vl,3
47,268,84030,niwi,ws,False,ws_free,3
48,268,84030,niwi,ss,True,ss_vl,3
49,268,84030,niwi,ss,False,ss_free,3
50,269,93051,niwi,ws,True,ws_vl,5
51,269,93051,niwi,ws,False,ws_free,5
52,269,93051,niwi,ss,True,ss_vl,5
53,269,93051,niwi,ss,False,ss_free,5
54,270,93051,wimi,ws,True,ws_vl,5
55,270,93051,wimi,ws,False,ws_free,5
56,270,93051,wimi,ss,True,ss_vl,5
57,270,93051,wimi,ss,False,ss_free,5
58,271,93059,wimi,ws,True,ws_vl,4
59,271,93059,wimi,ws,False,ws_free,2
60,271,93059,wimi,ss,True,ss_vl,4
61,271,93059,wimi,ss,False,ss_free,2
62,272,81541,wimi,ws,True,ws_vl,1
63,272,81541,wimi,ws,False,ws_free,1
64,273,93197,niwi,ws,True,ws_vl,3
65,273,93197,niwi,ws,False,ws_free,3
66,273,93197,niwi,ss,True,ss_vl,3
67,273,93197,niwi,ss,False,ss_free,3
68,275,84069,niwi,ws,True,ws_vl,3
69,275,84069,niwi,ws,False,ws_free,3
70,275,84069,niwi,ss,True,ss_vl,3
71,275,84069,niwi,ss,False,ss_free,3
72,276,93053,niwi,ws,True,ws_vl,5
73,276,93053,niwi,ws,False,ws_free,5
74,276,93053,niwi,ss,True,ss_vl,5
75,276,93053,niwi,ss,False,ss_free,5
76,278,85737,wimi,ws,True,ws_vl,3
77,278,85737,wimi,ws,False,ws_free,0
78,278,85737,wimi,ss,True,ss_vl,1
79,278,85737,wimi,ss,False,ss_free,1
80,281,93090,niwi,ws,True,ws_vl,3
81,281,93090,niwi,ws,False,ws_free,3
82,281,93090,niwi,ss,True,ss_vl,3
83,281,93090,niwi,ss,False,ss_free,3
84,282,93047,student,ws,True,ws_vl,2
85,282,93047,student,ws,False,ws_free,1
86,282,93047,student,ss,True,ss_vl,2
87,282,93047,student,ss,False,ss_free,1
88,284,93051,niwi,ws,True,ws_vl,5
89,284,93051,niwi,ws,False,ws_free,5
90,284,93051,niwi,ss,True,ss_vl,5
91,284,93051,niwi,ss,False,ss_free,5
92,285,93197,niwi,ws,True,ws_vl,3
93,285,93197,niwi,ws,False,ws_free,3
94,285,93197,niwi,ss,True,ss_vl,3
95,285,93197,niwi,ss,False,ss_free,3
96,286,93077,niwi,ws,True,ws_vl,5
97,286,93077,niwi,ws,False,ws_free,5
98,286,93077,niwi,ss,True,ss_vl,5
99,286,93077,niwi,ss,False,ss_free,5
100,287,93051,wimi,ws,True,ws_vl,5
101,287,93051,wimi,ws,False,ws_free,5
102,287,93051,wimi,ss,True,ss_vl,5
103,287,93051,wimi,ss,False,ss_free,5
104,288,94374,niwi,ws,True,ws_vl,5
105,288,94374,niwi,ws,False,ws_free,5
106,288,94374,niwi,ss,True,ss_vl,5
107,288,94374,niwi,ss,False,ss_free,5
108,289,93170,niwi,ws,True,ws_vl,3
109,289,93170,niwi,ws,False,ws_free,3
110,289,93170,niwi,ss,True,ss_vl,3
111,289,93170,niwi,ss,False,ss_free,3
112,290,93051,niwi,ws,True,ws_vl,5
113,290,93051,niwi,ws,False,ws_free,5
114,290,93051,niwi,ss,True,ss_vl,5
115,290,93051,niwi,ss,False,ss_free,5
116,291,93053,student,ws,True,ws_vl,5
117,291,93053,student,ws,False,ws_free,5
118,291,93053,student,ss,True,ss_vl,5
119,291,93053,student,ss,False,ss_free,5
120,292,93049,prof,ws,True,ws_vl,4
121,292,93049,prof,ws,False,ws_free,4
122,292,93049,prof,ss,True,ss_vl,4
123,292,93049,prof,ss,False,ss_free,4
124,294,93053,student,ws,True,ws_vl,5
125,294,93053,student,ws,False,ws_free,5
126,294,93053,student,ss,True,ss_vl,5
127,294,93053,student,ss,False,ss_free,5
128,295,93049,prof,ws,True,ws_vl,5
129,295,93049,prof,ws,False,ws_free,5
130,295,93049,prof,ss,True,ss_vl,5
131,295,93049,prof,ss,False,ss_free,5
132,296,93197,niwi,ws,True,ws_vl,2
133,296,93197,niwi,ws,False,ws_free,2
134,296,93197,niwi,ss,True,ss_vl,2
135,296,93197,niwi,ss,False,ss_free,2
136,298,93049,wimi,ws,True,ws_vl,5
137,298,93049,wimi,ws,False,ws_free,5
138,298,93049,wimi,ss,True,ss_vl,5
139,298,93049,wimi,ss,False,ss_free,5
140,299,93351,student,ws,True,ws_vl,5
141,299,93351,student,ws,False,ws_free,5
142,299,93351,student,ss,True,ss_vl,5
143,299,93351,student,ss,False,ss_free,5
144,300,93188,niwi,ws,True,ws_vl,5
145,300,93188,niwi,ws,False,ws_free,5
146,300,93188,niwi,ss,True,ss_vl,5
147,300,93188,niwi,ss,False,ss_free,5
148,301,93049,wimi,ws,True,ws_vl,6
149,301,93049,wimi,ws,False,ws_free,6
150,301,93049,wimi,ss,True,ss_vl,5
151,301,93049,wimi,ss,False,ss_free,5
152,302,93049,wimi,ws,True,ws_vl,5
153,302,93049,wimi,ws,False,ws_free,5
154,302,93049,wimi,ss,True,ss_vl,5
155,302,93049,wimi,ss,False,ss_free,5
156,303,93142,niwi,ws,True,ws_vl,2
157,303,93142,niwi,ws,False,ws_free,2
158,303,93142,niwi,ss,True,ss_vl,2
159,303,93142,niwi,ss,False,ss_free,2
160,304,85098,student,ws,True,ws_vl,4
161,304,85098,student,ws,False,ws_free,4
162,304,85098,student,ss,True,ss_vl,4
163,304,85098,student,ss,False,ss_free,4
164,305,93149,niwi,ws,True,ws_vl,2
165,305,93149,niwi,ws,False,ws_free,2
166,305,93149,niwi,ss,True,ss_vl,2
167,305,93149,niwi,ss,False,ss_free,2
168,306,90408,wimi,ws,True,ws_vl,2
169,306,90408,wimi,ws,False,ws_free,3
170,306,90408,wimi,ss,True,ss_vl,2
171,306,90408,wimi,ss,False,ss_free,2
172,307,92287,niwi,ws,True,ws_vl,4
173,307,92287,niwi,ws,False,ws_free,4
174,307,92287,niwi,ss,True,ss_vl,4
175,307,92287,niwi,ss,False,ss_free,4
176,309,93055,wimi,ws,True,ws_vl,5
177,309,93055,wimi,ws,False,ws_free,5
178,309,93055,wimi,ss,True,ss_vl,5
179,309,93055,wimi,ss,False,ss_free,5
180,310,93105,niwi,ws,True,ws_vl,5
181,310,93105,niwi,ws,False,ws_free,5
