,participant_id,status,topic,response
0,254,prof,bike_sharing_stations,-2
1,254,prof,bike_sharing_ebike,-2
2,254,prof,bike_sharing_cargo,no_answer
3,254,prof,repair_stations,1
4,254,prof,covered_parking,2
5,254,prof,save_parking,1
6,254,prof,showers,-2
7,254,prof,ebike_charging,-2
8,254,prof,cycling_network,1
9,255,wimi,bike_sharing_stations,-2
10,255,wimi,bike_sharing_ebike,-2
11,255,wimi,bike_sharing_cargo,0
12,255,wimi,repair_stations,1
13,255,wimi,covered_parking,1
14,255,wimi,save_parking,0
15,255,wimi,showers,1
16,255,wimi,ebike_charging,0
17,255,wimi,cycling_network,2
18,256,niwi,bike_sharing_stations,-1
19,256,niwi,bike_sharing_ebike,-1
20,256,niwi,bike_sharing_cargo,1
21,256,niwi,repair_stations,1
22,256,niwi,covered_parking,2
23,256,niwi,save_parking,1
24,256,niwi,showers,-1
25,256,niwi,ebike_charging,2
26,256,niwi,cycling_network,0
27,258,prof,bike_sharing_stations,no_opinion
28,258,prof,bike_sharing_ebike,no_opinion
29,258,prof,bike_sharing_cargo,no_opinion
30,258,prof,repair_stations,no_opinion
31,258,prof,covered_parking,no_opinion
32,258,prof,save_parking,no_opinion
33,258,prof,showers,no_opinion
34,258,prof,ebike_charging,no_opinion
35,258,prof,cycling_network,no_opinion
36,259,niwi,bike_sharing_stations,no_answer
37,259,niwi,bike_sharing_ebike,no_answer
38,259,niwi,bike_sharing_cargo,no_answer
39,259,niwi,repair_stations,no_answer
40,259,niwi,covered_parking,no_answer
41,259,niwi,save_parking,no_answer
42,259,niwi,showers,no_answer
43,259,niwi,ebike_charging,no_answer
44,259,niwi,cycling_network,no_answer
45,260,niwi,bike_sharing_stations,no_opinion
46,260,niwi,bike_sharing_ebike,no_opinion
47,260,niwi,bike_sharing_cargo,no_opinion
48,260,niwi,repair_stations,no_opinion
49,260,niwi,covered_parking,no_opinion
50,260,niwi,save_parking,no_opinion
51,260,niwi,showers,no_opinion
52,260,niwi,ebike_charging,no_opinion
53,260,niwi,cycling_network,no_opinion
54,261,wimi,bike_sharing_stations,0
55,261,wimi,bike_sharing_ebike,0
56,261,wimi,bike_sharing_cargo,-2
57,261,wimi,repair_stations,0
58,261,wimi,covered_parking,2
59,261,wimi,save_parking,2
60,261,wimi,showers,2
61,261,wimi,ebike_charging,-1
62,261,wimi,cycling_network,2
63,262,student,bike_sharing_stations,-2
64,262,student,bike_sharing_ebike,-2
65,262,student,bike_sharing_cargo,-2
66,262,student,repair_stations,1
67,262,student,covered_parking,1
68,262,student,save_parking,-2
69,262,student,showers,0
70,262,student,ebike_charging,-2
71,262,student,cycling_network,1
72,263,wimi,bike_sharing_stations,no_opinion
73,263,wimi,bike_sharing_ebike,no_opinion
74,263,wimi,bike_sharing_cargo,no_opinion
75,263,wimi,repair_stations,no_opinion
76,263,wimi,covered_parking,no_opinion
77,263,wimi,save_parking,no_opinion
78,263,wimi,showers,no_opinion
79,263,wimi,ebike_charging,no_opinion
80,263,wimi,cycling_network,no_opinion
81,265,niwi,bike_sharing_stations,-2
82,265,niwi,bike_sharing_ebike,-2
83,265,niwi,bike_sharing_cargo,-2
84,265,niwi,repair_stations,-2
85,265,niwi,covered_parking,-2
86,265,niwi,save_parking,-2
87,265,niwi,showers,-2
88,265,niwi,ebike_charging,-2
89,265,niwi,cycling_network,-2
90,266,niwi,bike_sharing_stations,no_opinion
91,266,niwi,bike_sharing_ebike,no_opinion
92,266,niwi,bike_sharing_cargo,no_opinion
93,266,niwi,repair_stations,no_opinion
94,266,niwi,covered_parking,no_opinion
95,266,niwi,save_parking,no_opinion
96,266,niwi,showers,no_opinion
97,266,niwi,ebike_charging,no_opinion
98,266,niwi,cycling_network,no_opinion
99,267,niwi,bike_sharing_stations,-2
100,267,niwi,bike_sharing_ebike,-2
101,267,niwi,bike_sharing_cargo,-2
102,267,niwi,repair_stations,-2
103,267,niwi,covered_parking,2
104,267,niwi,save_parking,-2
105,267,niwi,showers,2
106,267,niwi,ebike_charging,-2
107,267,niwi,cycling_network,2
108,268,niwi,bike_sharing_stations,no_opinion
109,268,niwi,bike_sharing_ebike,no_opinion
110,268,niwi,bike_sharing_cargo,no_opinion
111,268,niwi,repair_stations,no_opinion
112,268,niwi,covered_parking,no_opinion
113,268,niwi,save_parking,no_opinion
114,268,niwi,showers,no_opinion
115,268,niwi,ebike_charging,no_opinion
116,268,niwi,cycling_network,no_opinion
117,269,niwi,bike_sharing_stations,2
118,269,niwi,bike_sharing_ebike,2
119,269,niwi,bike_sharing_cargo,2
120,269,niwi,repair_stations,2
121,269,niwi,covered_parking,2
122,269,niwi,save_parking,2
123,269,niwi,showers,1
124,269,niwi,ebike_charging,2
125,269,niwi,cycling_network,2
126,270,wimi,bike_sharing_stations,-2
127,270,wimi,bike_sharing_ebike,-2
128,270,wimi,bike_sharing_cargo,-2
129,270,wimi,repair_stations,1
130,270,wimi,covered_parking,1
131,270,wimi,save_parking,-2
132,270,wimi,showers,-2
133,270,wimi,ebike_charging,-2
134,270,wimi,cycling_network,0
135,271,wimi,bike_sharing_stations,-1
136,271,wimi,bike_sharing_ebike,-1
137,271,wimi,bike_sharing_cargo,-1
138,271,wimi,repair_stations,1
139,271,wimi,covered_parking,1
140,271,wimi,save_parking,2
141,271,wimi,showers,1
142,271,wimi,ebike_charging,2
143,271,wimi,cycling_network,1
144,272,wimi,bike_sharing_stations,no_answer
145,272,wimi,bike_sharing_ebike,no_answer
146,272,wimi,bike_sharing_cargo,no_answer
147,272,wimi,repair_stations,no_answer
148,272,wimi,covered_parking,no_answer
149,272,wimi,save_parking,no_answer
150,272,wimi,showers,no_answer
151,272,wimi,ebike_charging,no_answer
152,272,wimi,cycling_network,no_answer
153,273,niwi,bike_sharing_stations,no_opinion
154,273,niwi,bike_sharing_ebike,no_opinion
155,273,niwi,bike_sharing_cargo,no_opinion
156,273,niwi,repair_stations,no_opinion
157,273,niwi,covered_parking,no_opinion
158,273,niwi,save_parking,no_opinion
159,273,niwi,showers,no_opinion
160,273,niwi,ebike_charging,no_opinion
161,273,niwi,cycling_network,no_opinion
162,275,niwi,bike_sharing_stations,no_answer
163,275,niwi,bike_sharing_ebike,no_answer
164,275,niwi,bike_sharing_cargo,no_answer
165,275,niwi,repair_stations,no_answer
166,275,niwi,covered_parking,no_answer
167,275,niwi,save_parking,no_answer
168,275,niwi,showers,no_answer
169,275,niwi,ebike_charging,no_answer
170,275,niwi,cycling_network,no_answer
171,276,niwi,bike_sharing_stations,-1
172,276,niwi,bike_sharing_ebike,-1
173,276,niwi,bike_sharing_cargo,-1
174,276,niwi,repair_stations,0
175,276,niwi,covered_parking,1
176,276,niwi,save_parking,1
177,276,niwi,showers,0
178,276,niwi,ebike_charging,-1
179,276,niwi,cycling_network,2
180,278,wimi,bike_sharing_stations,no_opinion
181,278,wimi,bike_sharing_ebike,no_opinion
182,278,wimi,bike_sharing_cargo,no_opinion
183,278,wimi,repair_stations,no_opinion
184,278,wimi,covered_parking,no_opinion
185,278,wimi,save_parking,no_opinion
186,278,wimi,showers,no_opinion
187,278,wimi,ebike_charging,no_opinion
188,278,wimi,cycling_network,no_opinion
189,281,niwi,bike_sharing_stations,no_opinion
190,281,niwi,bike_sharing_ebike,no_opinion
191,281,niwi,bike_sharing_cargo,no_opinion
192,281,niwi,repair_stations,no_opinion
193,281,niwi,covered_parking,no_opinion
194,281,niwi,save_parking,no_opinion
195,281,niwi,showers,no_opinion
196,281,niwi,ebike_charging,no_opinion
197,281,niwi,cycling_network,no_opinion
198,282,student,bike_sharing_stations,-2
199,282,student,bike_sharing_ebike,-2
200,282,student,bike_sharing_cargo,-2
201,282,student,repair_stations,1
202,282,student,covered_parking,1
203,282,student,save_parking,2
204,282,student,showers,-2
205,282,student,ebike_charging,-2
206,282,student,cycling_network,1
207,284,niwi,bike_sharing_stations,-2
208,284,niwi,bike_sharing_ebike,-2
209,284,niwi,bike_sharing_cargo,-2
210,284,niwi,repair_stations,-2
211,284,niwi,covered_parking,0
212,284,niwi,save_parking,0
213,284,niwi,showers,-2
214,284,niwi,ebike_charging,-2
215,284,niwi,cycling_network,-2
216,285,niwi,bike_sharing_stations,2
217,285,niwi,bike_sharing_ebike,2
218,285,niwi,bike_sharing_cargo,2
219,285,niwi,repair_stations,2
220,285,niwi,covered_parking,2
221,285,niwi,save_parking,2
222,285,niwi,showers,2
223,285,niwi,ebike_charging,2
224,285,niwi,cycling_network,2
225,286,niwi,bike_sharing_stations,no_opinion
226,286,niwi,bike_sharing_ebike,no_opinion
227,286,niwi,bike_sharing_cargo,no_opinion
228,286,niwi,repair_stations,no_opinion
229,286,niwi,covered_parking,2
230,286,niwi,save_parking,2
231,286,niwi,showers,2
232,286,niwi,ebike_charging,no_opinion
233,286,niwi,cycling_network,2
234,287,wimi,bike_sharing_stations,-2
235,287,wimi,bike_sharing_ebike,-2
236,287,wimi,bike_sharing_cargo,-2
237,287,wimi,repair_stations,1
238,287,wimi,covered_parking,2
239,287,wimi,save_parking,2
240,287,wimi,showers,1
241,287,wimi,ebike_charging,0
242,287,wimi,cycling_network,1
