,participant_id,status,topic,response
0,254,prof,bicycle_parking,1
1,255,wimi,bicycle_parking,0
2,256,niwi,bicycle_parking,0
3,258,prof,bicycle_parking,no_opinion
4,259,niwi,bicycle_parking,0
5,260,niwi,bicycle_parking,no_opinion
6,261,wimi,bicycle_parking,1
7,262,student,bicycle_parking,-2
8,263,wimi,bicycle_parking,no_opinion
9,265,niwi,bicycle_parking,0
10,266,niwi,bicycle_parking,no_opinion
11,267,niwi,bicycle_parking,0
12,268,niwi,bicycle_parking,0
13,269,niwi,bicycle_parking,no_answer
14,270,wimi,bicycle_parking,-1
15,271,wimi,bicycle_parking,0
16,272,wimi,bicycle_parking,-1
17,273,niwi,bicycle_parking,no_opinion
18,275,niwi,bicycle_parking,no_opinion
19,276,niwi,bicycle_parking,-2
20,278,wimi,bicycle_parking,-1
21,281,niwi,bicycle_parking,no_opinion
22,282,student,bicycle_parking,0
23,284,niwi,bicycle_parking,-1
24,285,niwi,bicycle_parking,no_opinion
25,286,niwi,bicycle_parking,2
26,287,wimi,bicycle_parking,no_answer
27,288,niwi,bicycle_parking,no_opinion
28,289,niwi,bicycle_parking,no_opinion
29,290,niwi,bicycle_parking,0
30,291,student,bicycle_parking,-1
31,292,prof,bicycle_parking,-1
32,294,student,bicycle_parking,-2
33,295,prof,bicycle_parking,0
34,296,niwi,bicycle_parking,no_opinion
35,298,wimi,bicycle_parking,no_opinion
36,299,student,bicycle_parking,no_opinion
37,300,niwi,bicycle_parking,no_opinion
38,301,wimi,bicycle_parking,2
39,302,wimi,bicycle_parking,2
40,303,niwi,bicycle_parking,no_opinion
41,304,student,bicycle_parking,no_opinion
42,305,niwi,bicycle_parking,no_answer
43,306,wimi,bicycle_parking,no_opinion
44,307,niwi,bicycle_parking,no_opinion
45,309,wimi,bicycle_parking,no_opinion
46,310,niwi,bicycle_parking,-1
47,311,wimi,bicycle_parking,-2
48,312,niwi,bicycle_parking,no_answer
49,314,niwi,bicycle_parking,no_opinion
50,315,student,bicycle_parking,no_opinion
51,316,prof,bicycle_parking,1
52,318,niwi,bicycle_parking,no_opinion
53,319,student,bicycle_parking,no_opinion
54,320,student,bicycle_parking,0
55,321,student,bicycle_parking,-1
56,323,student,bicycle_parking,1
57,330,niwi,bicycle_parking,-1
58,331,wimi,bicycle_parking,2
59,332,wimi,bicycle_parking,0
60,333,niwi,bicycle_parking,no_opinion
61,334,niwi,bicycle_parking,1
62,335,niwi,bicycle_parking,0
63,336,niwi,bicycle_parking,no_opinion
64,337,niwi,bicycle_parking,no_opinion
65,338,niwi,bicycle_parking,no_answer
66,339,wimi,bicycle_parking,2
67,340,wimi,bicycle_parking,no_opinion
68,342,wimi,bicycle_parking,1
69,343,niwi,bicycle_parking,-1
70,345,student,bicycle_parking,-1
71,346,wimi,bicycle_parking,-1
72,347,student,bicycle_parking,-2
73,348,wimi,bicycle_parking,-2
74,349,prof,bicycle_parking,-1
75,351,niwi,bicycle_parking,-1
76,352,niwi,bicycle_parking,1
77,355,prof,bicycle_parking,no_opinion
78,356,other,bicycle_parking,2
79,357,niwi,bicycle_parking,1
80,358,niwi,bicycle_parking,no_opinion
81,359,niwi,bicycle_parking,-2
82,361,wimi,bicycle_parking,-1
83,362,student,bicycle_parking,0
84,363,niwi,bicycle_parking,no_opinion
85,364,wimi,bicycle_parking,0
86,365,wimi,bicycle_parking,1
87,367,niwi,bicycle_parking,0
88,368,wimi,bicycle_parking,no_opinion
89,369,niwi,bicycle_parking,0
90,370,prof,bicycle_parking,0
91,371,niwi,bicycle_parking,-2
92,372,niwi,bicycle_parking,-1
93,373,niwi,bicycle_parking,0
94,374,wimi,bicycle_parking,0
95,376,niwi,bicycle_parking,no_opinion
96,377,student,bicycle_parking,no_answer
97,378,prof,bicycle_parking,-1
98,379,niwi,bicycle_parking,no_opinion
99,380,niwi,bicycle_parking,-1
100,381,niwi,bicycle_parking,no_opinion
101,382,niwi,bicycle_parking,no_opinion
102,384,wimi,bicycle_parking,1
103,385,niwi,bicycle_parking,0
104,387,wimi,bicycle_parking,no_opinion
105,388,wimi,bicycle_parking,1
106,389,niwi,bicycle_parking,no_opinion
107,391,niwi,bicycle_parking,no_opinion
108,392,niwi,bicycle_parking,no_opinion
109,393,student,bicycle_parking,-1
110,394,niwi,bicycle_parking,1
111,396,other,bicycle_parking,-2
112,397,niwi,bicycle_parking,-2
113,398,niwi,bicycle_parking,0
114,400,wimi,bicycle_parking,0
115,401,niwi,bicycle_parking,no_opinion
116,404,niwi,bicycle_parking,no_opinion
117,405,student,bicycle_parking,no_opinion
118,406,wimi,bicycle_parking,no_opinion
119,407,niwi,bicycle_parking,0
120,408,niwi,bicycle_parking,-2
121,409,niwi,bicycle_parking,-1
122,410,wimi,bicycle_parking,-2
123,411,prof,bicycle_parking,-2
124,412,student,bicycle_parking,no_opinion
125,414,student,bicycle_parking,-2
126,416,wimi,bicycle_parking,0
127,417,prof,bicycle_parking,0
128,419,student,bicycle_parking,2
129,421,wimi,bicycle_parking,no_opinion
130,422,niwi,bicycle_parking,-1
131,423,wimi,bicycle_parking,no_opinion
132,424,prof,bicycle_parking,1
133,425,student,bicycle_parking,1
134,427,niwi,bicycle_parking,-1
135,428,student,bicycle_parking,-1
136,429,niwi,bicycle_parking,0
137,430,student,bicycle_parking,-2
138,431,student,bicycle_parking,-2
139,432,niwi,bicycle_parking,-2
140,433,niwi,bicycle_parking,-1
141,434,wimi,bicycle_parking,-1
142,436,student,bicycle_parking,0
143,437,wimi,bicycle_parking,-1
144,438,niwi,bicycle_parking,no_opinion
145,441,student,bicycle_parking,-1
146,442,wimi,bicycle_parking,0
147,443,wimi,bicycle_parking,0
148,444,wimi,bicycle_parking,no_opinion
149,445,wimi,bicycle_parking,-2
150,446,wimi,bicycle_parking,-1
151,448,niwi,bicycle_parking,1
152,449,niwi,bicycle_parking,0
153,450,niwi,bicycle_parking,0
154,451,student,bicycle_parking,-1
155,453,niwi,bicycle_parking,0
156,454,student,bicycle_parking,no_opinion
157,455,student,bicycle_parking,-2
158,456,student,bicycle_parking,no_opinion
159,457,niwi,bicycle_parking,-2
160,458,niwi,bicycle_parking,-1
161,460,student,bicycle_parking,no_opinion
162,461,student,bicycle_parking,no_opinion
163,462,student,bicycle_parking,no_opinion
164,463,student,bicycle_parking,-1
165,464,niwi,bicycle_parking,-1
166,465,student,bicycle_parking,-1
167,466,niwi,bicycle_parking,no_opinion
168,468,student,bicycle_parking,0
169,469,student,bicycle_parking,0
170,470,student,bicycle_parking,-2
171,471,niwi,bicycle_parking,-2
172,473,wimi,bicycle_parking,0
173,474,wimi,bicycle_parking,-1
174,475,niwi,bicycle_parking,-1
175,476,prof,bicycle_parking,-1
176,478,niwi,bicycle_parking,no_opinion
177,479,student,bicycle_parking,no_opinion
178,480,student,bicycle_parking,-2
179,481,wimi,bicycle_parking,0
180,482,student,bicycle_parking,no_answer
181,483,wimi,bicycle_parking,0
182,484,student,bicycle_parking,-1
183,485,student,bicycle_parking,no_opinion
184,486,student,bicycle_parking,-2
185,487,wimi,bicycle_parking,0
186,488,niwi,bicycle_parking,1
187,489,niwi,bicycle_parking,-2
188,490,student,bicycle_parking,2
189,491,niwi,bicycle_parking,1
190,492,student,bicycle_parking,no_opinion
191,493,prof,bicycle_parking,1
192,494,niwi,bicycle_parking,0
193,495,niwi,bicycle_parking,no_opinion
194,496,student,bicycle_parking,-1
195,497,niwi,bicycle_parking,2
196,500,student,bicycle_parking,2
197,501,niwi,bicycle_parking,-2
198,502,other,bicycle_parking,no_answer
199,503,student,bicycle_parking,-2
200,504,niwi,bicycle_parking,1
201,506,prof,bicycle_parking,1
202,507,prof,bicycle_parking,1
203,508,student,bicycle_parking,0
204,509,wimi,bicycle_parking,-1
205,510,niwi,bicycle_parking,-2
206,511,student,bicycle_parking,no_opinion
207,512,niwi,bicycle_parking,2
208,513,student,bicycle_parking,-1
209,515,wimi,bicycle_parking,-1
210,516,other,bicycle_parking,-1
211,518,niwi,bicycle_parking,no_opinion
212,519,niwi,bicycle_parking,no_opinion
213,520,niwi,bicycle_parking,-1
214,521,niwi,bicycle_parking,no_opinion
215,523,wimi,bicycle_parking,1
216,524,student,bicycle_parking,1
217,525,niwi,bicycle_parking,no_opinion
218,526,other,bicycle_parking,1
219,527,niwi,bicycle_parking,-1
220,528,niwi,bicycle_parking,1
221,529,wimi,bicycle_parking,no_opinion
222,530,niwi,bicycle_parking,no_answer
223,533,wimi,bicycle_parking,no_opinion
224,534,niwi,bicycle_parking,-2
225,535,student,bicycle_parking,-1
226,537,niwi,bicycle_parking,2
227,539,prof,bicycle_parking,no_opinion
228,540,wimi,bicycle_parking,-1
229,541,wimi,bicycle_parking,no_opinion
230,542,niwi,bicycle_parking,no_answer
231,544,wimi,bicycle_parking,0
232,545,wimi,bicycle_parking,-1
233,546,niwi,bicycle_parking,-1
234,547,wimi,bicycle_parking,1
235,548,student,bicycle_parking,no_opinion
236,549,wimi,bicycle_parking,no_opinion
237,550,student,bicycle_parking,-1
238,551,student,bicycle_parking,-1
239,552,niwi,bicycle_parking,no_opinion
240,554,student,bicycle_parking,1
241,555,wimi,bicycle_parking,1
242,556,student,bicycle_parking,-1
243,557,prof,bicycle_parking,-1
244,558,prof,bicycle_parking,no_opinion
245,559,niwi,bicycle_parking,2
246,560,niwi,bicycle_parking,0
247,561,niwi,bicycle_parking,0
248,563,wimi,bicycle_parking,no_opinion
249,564,niwi,bicycle_parking,0
250,565,niwi,bicycle_parking,no_opinion
251,566,student,bicycle_parking,no_opinion
252,567,student,bicycle_parking,no_opinion
253,568,student,bicycle_parking,no_opinion
254,569,niwi,bicycle_parking,-1
255,570,wimi,bicycle_parking,2
256,572,wimi,bicycle_parking,-1
257,573,student,bicycle_parking,-2
258,574,student,bicycle_parking,0
259,575,niwi,bicycle_parking,no_opinion
260,576,niwi,bicycle_parking,0
261,578,student,bicycle_parking,no_opinion
262,579,niwi,bicycle_parking,-1
263,580,student,bicycle_parking,no_opinion
264,581,niwi,bicycle_parking,no_opinion
265,583,student,bicycle_parking,no_opinion
266,584,student,bicycle_parking,1
267,585,niwi,bicycle_parking,-2
268,586,student,bicycle_parking,-1
269,587,niwi,bicycle_parking,no_opinion
270,588,niwi,bicycle_parking,1
271,589,wimi,bicycle_parking,-1
272,590,student,bicycle_parking,-1
273,591,wimi,bicycle_parking,-1
274,592,student,bicycle_parking,no_opinion
275,593,wimi,bicycle_parking,2
