,participant_id,status,topic,response
0,254,prof,parking,-2
1,255,wimi,parking,0
2,256,niwi,parking,-2
3,258,prof,parking,no_opinion
4,259,niwi,parking,0
5,260,niwi,parking,-2
6,261,wimi,parking,no_opinion
7,262,student,parking,no_opinion
8,263,wimi,parking,1
9,265,niwi,parking,0
10,266,niwi,parking,-1
11,267,niwi,parking,no_opinion
12,268,niwi,parking,-1
13,269,niwi,parking,no_opinion
14,270,wimi,parking,no_opinion
15,271,wimi,parking,-1
16,272,wimi,parking,-1
17,273,niwi,parking,-2
18,275,niwi,parking,1
19,276,niwi,parking,-1
20,278,wimi,parking,0
21,281,niwi,parking,2
22,282,student,parking,0
23,284,niwi,parking,-1
24,285,niwi,parking,-1
25,286,niwi,parking,no_answer
26,287,wimi,parking,1
27,288,niwi,parking,-1
28,289,niwi,parking,-2
29,290,niwi,parking,1
30,291,student,parking,no_opinion
31,292,prof,parking,no_opinion
32,294,student,parking,-1
33,295,prof,parking,no_opinion
34,296,niwi,parking,-2
35,298,wimi,parking,no_opinion
36,299,student,parking,0
37,300,niwi,parking,-1
38,301,wimi,parking,no_opinion
39,302,wimi,parking,-1
40,303,niwi,parking,0
41,304,student,parking,-2
42,305,niwi,parking,-1
43,306,wimi,parking,0
44,307,niwi,parking,1
45,309,wimi,parking,-1
46,310,niwi,parking,-1
47,311,wimi,parking,no_opinion
48,312,niwi,parking,2
49,314,niwi,parking,-1
50,315,student,parking,no_opinion
51,316,prof,parking,-1
52,318,niwi,parking,0
53,319,student,parking,no_opinion
54,320,student,parking,0
55,321,student,parking,0
56,323,student,parking,-1
57,330,niwi,parking,-1
58,331,wimi,parking,2
59,332,wimi,parking,2
60,333,niwi,parking,-2
61,334,niwi,parking,no_opinion
62,335,niwi,parking,-1
63,336,niwi,parking,0
64,337,niwi,parking,-1
65,338,niwi,parking,1
66,339,wimi,parking,no_opinion
67,340,wimi,parking,-1
68,342,wimi,parking,-2
69,343,niwi,parking,no_opinion
70,345,student,parking,1
71,346,wimi,parking,0
72,347,student,parking,-1
73,348,wimi,parking,-1
74,349,prof,parking,0
75,351,niwi,parking,0
76,352,niwi,parking,-2
77,355,prof,parking,-2
78,356,other,parking,-1
79,357,niwi,parking,-1
80,358,niwi,parking,0
81,359,niwi,parking,no_opinion
82,361,wimi,parking,-2
83,362,student,parking,no_opinion
84,363,niwi,parking,no_opinion
85,364,wimi,parking,no_opinion
86,365,wimi,parking,-2
87,367,niwi,parking,-1
88,368,wimi,parking,1
89,369,niwi,parking,-2
90,370,prof,parking,-2
91,371,niwi,parking,no_opinion
92,372,niwi,parking,1
93,373,niwi,parking,no_opinion
94,374,wimi,parking,-2
95,376,niwi,parking,2
96,377,student,parking,1
97,378,prof,parking,-2
98,379,niwi,parking,-2
99,380,niwi,parking,-1
100,381,niwi,parking,-1
101,382,niwi,parking,1
102,384,wimi,parking,no_opinion
103,385,niwi,parking,2
104,387,wimi,parking,-1
105,388,wimi,parking,0
106,389,niwi,parking,-2
107,391,niwi,parking,-2
108,392,niwi,parking,-2
109,393,student,parking,no_opinion
110,394,niwi,parking,0
111,396,other,parking,-1
112,397,niwi,parking,1
113,398,niwi,parking,0
114,400,wimi,parking,no_opinion
115,401,niwi,parking,no_opinion
116,404,niwi,parking,0
117,405,student,parking,no_opinion
118,406,wimi,parking,-2
119,407,niwi,parking,0
120,408,niwi,parking,no_opinion
121,409,niwi,parking,-1
122,410,wimi,parking,-1
123,411,prof,parking,-2
124,412,student,parking,-1
125,414,student,parking,0
126,416,wimi,parking,-1
127,417,prof,parking,0
128,419,student,parking,no_opinion
129,421,wimi,parking,-1
130,422,niwi,parking,no_opinion
131,423,wimi,parking,no_opinion
132,424,prof,parking,-1
133,425,student,parking,no_opinion
134,427,niwi,parking,no_opinion
135,428,student,parking,0
136,429,niwi,parking,-1
137,430,student,parking,no_opinion
138,431,student,parking,-2
139,432,niwi,parking,-2
140,433,niwi,parking,1
141,434,wimi,parking,-1
142,436,student,parking,0
143,437,wimi,parking,-2
144,438,niwi,parking,0
145,441,student,parking,no_opinion
146,442,wimi,parking,0
147,443,wimi,parking,-2
148,444,wimi,parking,no_opinion
149,445,wimi,parking,1
150,446,wimi,parking,-1
151,448,niwi,parking,1
152,449,niwi,parking,-2
153,450,niwi,parking,-1
154,451,student,parking,-1
155,453,niwi,parking,0
156,454,student,parking,-1
157,455,student,parking,-2
158,456,student,parking,no_opinion
159,457,niwi,parking,no_opinion
160,458,niwi,parking,no_opinion
161,460,student,parking,no_opinion
162,461,student,parking,no_opinion
163,462,student,parking,no_opinion
164,463,student,parking,1
165,464,niwi,parking,-2
166,465,student,parking,no_opinion
167,466,niwi,parking,1
168,468,student,parking,-1
169,469,student,parking,2
170,470,student,parking,-2
171,471,niwi,parking,-2
172,473,wimi,parking,no_opinion
173,474,wimi,parking,no_opinion
174,475,niwi,parking,0
175,476,prof,parking,-1
176,478,niwi,parking,-2
177,479,student,parking,no_opinion
178,480,student,parking,2
179,481,wimi,parking,0
180,482,student,parking,-1
181,483,wimi,parking,-1
182,484,student,parking,no_opinion
183,485,student,parking,-1
184,486,student,parking,no_opinion
185,487,wimi,parking,-1
186,488,niwi,parking,0
187,489,niwi,parking,-2
188,490,student,parking,no_opinion
189,491,niwi,parking,-1
190,492,student,parking,no_opinion
191,493,prof,parking,0
192,494,niwi,parking,0
193,495,niwi,parking,1
194,496,student,parking,1
195,497,niwi,parking,2
196,500,student,parking,2
197,501,niwi,parking,-2
198,502,other,parking,0
199,503,student,parking,-1
200,504,niwi,parking,-1
201,506,prof,parking,no_opinion
202,507,prof,parking,0
203,508,student,parking,0
204,509,wimi,parking,no_opinion
205,510,niwi,parking,2
206,511,student,parking,-2
207,512,niwi,parking,2
208,513,student,parking,1
209,515,wimi,parking,0
210,516,other,parking,1
211,518,niwi,parking,2
212,519,niwi,parking,no_opinion
213,520,niwi,parking,0
214,521,niwi,parking,0
215,523,wimi,parking,-2
216,524,student,parking,no_opinion
217,525,niwi,parking,-2
218,526,other,parking,no_opinion
219,527,niwi,parking,-2
220,528,niwi,parking,2
221,529,wimi,parking,1
222,530,niwi,parking,1
223,533,wimi,parking,no_opinion
224,534,niwi,parking,0
225,535,student,parking,0
226,537,niwi,parking,1
227,539,prof,parking,no_opinion
228,540,wimi,parking,-2
229,541,wimi,parking,no_answer
230,542,niwi,parking,2
231,544,wimi,parking,-1
232,545,wimi,parking,1
233,546,niwi,parking,no_opinion
234,547,wimi,parking,1
235,548,student,parking,2
236,549,wimi,parking,no_opinion
237,550,student,parking,1
238,551,student,parking,0
239,552,niwi,parking,-2
240,554,student,parking,no_opinion
241,555,wimi,parking,-1
242,556,student,parking,-2
243,557,prof,parking,no_opinion
244,558,prof,parking,-1
245,559,niwi,parking,-2
246,560,niwi,parking,no_opinion
247,561,niwi,parking,-2
248,563,wimi,parking,0
249,564,niwi,parking,-2
250,565,niwi,parking,no_opinion
251,566,student,parking,-2
252,567,student,parking,no_opinion
253,568,student,parking,no_opinion
254,569,niwi,parking,-2
255,570,wimi,parking,-2
256,572,wimi,parking,no_opinion
257,573,student,parking,-2
258,574,student,parking,no_opinion
259,575,niwi,parking,2
260,576,niwi,parking,-2
261,578,student,parking,no_opinion
262,579,niwi,parking,-1
263,580,student,parking,-1
264,581,niwi,parking,-1
265,583,student,parking,-1
266,584,student,parking,2
267,585,niwi,parking,-2
268,586,student,parking,no_opinion
269,587,niwi,parking,-1
270,588,niwi,parking,2
271,589,wimi,parking,-2
272,590,student,parking,no_opinion
273,591,wimi,parking,0
274,592,student,parking,-1
275,593,wimi,parking,no_opinion
276,596,wimi,parking,-2
277,597,student,parking,-2
278,598,student,parking,-1
279,599,wimi,parking,-1
280,600,niwi,parking,-1
281,601,niwi,parking,-1
282,602,prof,parking,0
283,604,student,parking,1
284,605,student,parking,no_opinion
285,606,student,parking,-1
286,607,niwi,parking,-2
287,608,student,parking,0
288,609,wimi,parking,-1
289,610,wimi,parking,1
290,611,wimi,parking,-2
291,612,wimi,parking,no_opinion
292,615,student,parking,0
293,616,student,parking,0
294,617,student,parking,no_opinion
295,618,student,parking,0
296,620,wimi,parking,no_opinion
297,621,student,parking,-2
298,622,student,parking,no_opinion
299,623,niwi,parking,-2
300,626,prof,parking,-2
301,627,niwi,parking,0
302,629,other,parking,1
303,631,student,parking,1
304,632,student,parking,no_opinion
305,633,student,parking,-1
306,634,student,parking,-2
307,635,wimi,parking,0
308,636,niwi,parking,-1
309,637,student,parking,1
310,638,wimi,parking,no_opinion
311,639,wimi,parking,-2
312,640,prof,parking,1
