,participant_id,status,topic,response
0,254,prof,deutschlandticket,Nein
1,255,wimi,deutschlandticket,Ich habe schon ein Deutschlandticket o.ä.
2,256,niwi,deutschlandticket,Nein
3,258,prof,deutschlandticket,Nein
4,259,niwi,deutschlandticket,Ja
5,260,niwi,deutschlandticket,Ja
6,261,wimi,deutschlandticket,Ja
7,262,student,deutschlandticket,Ich habe schon ein Deutschlandticket o.ä.
8,263,wimi,deutschlandticket,Nein
9,265,niwi,deutschlandticket,Nein
10,266,niwi,deutschlandticket,Nein
11,267,niwi,deutschlandticket,Ja
12,268,niwi,deutschlandticket,Nein
13,269,niwi,deutschlandticket,Ja
14,270,wimi,deutschlandticket,Ich habe schon ein Deutschlandticket o.ä.
15,271,wimi,deutschlandticket,Nein
16,272,wimi,deutschlandticket,Ja
17,273,niwi,deutschlandticket,Ja
18,275,niwi,deutschlandticket,Nein
19,276,niwi,deutschlandticket,Kommt darauf an...
20,278,wimi,deutschlandticket,Ich habe schon ein Deutschlandticket o.ä.
21,281,niwi,deutschlandticket,Nein
22,282,student,deutschlandticket,
23,284,niwi,deutschlandticket,Ich habe schon ein Deutschlandticket o.ä.
24,285,niwi,deutschlandticket,Nein
25,286,niwi,deutschlandticket,Kommt darauf an...
26,287,wimi,deutschlandticket,Nein
27,288,niwi,deutschlandticket,Nein
28,289,niwi,deutschlandticket,Nein
29,290,niwi,deutschlandticket,Kommt darauf an...
30,291,student,deutschlandticket,Ich habe schon ein Deutschlandticket o.ä.
31,292,prof,deutschlandticket,Ja
32,294,student,deutschlandticket,Ich habe schon ein Deutschlandticket o.ä.
33,295,prof,deutschlandticket,Nein
34,296,niwi,deutschlandticket,Nein
35,298,wimi,deutschlandticket,Ja
36,299,student,deutschlandticket,Nein
37,300,niwi,deutschlandticket,Nein
38,301,wimi,deutschlandticket,Ja
39,302,wimi,deutschlandticket,Nein
40,303,niwi,deutschlandticket,Ja
41,304,student,deutschlandticket,
42,305,niwi,deutschlandticket,Nein
43,306,wimi,deutschlandticket,Kommt darauf an...
44,307,niwi,deutschlandticket,Kommt darauf an...
45,309,wimi,deutschlandticket,Nein
46,310,niwi,deutschlandticket,Nein
47,311,wimi,deutschlandticket,Ich habe schon ein Deutschlandticket o.ä.
48,312,niwi,deutschlandticket,Nein
49,314,niwi,deutschlandticket,nicht beantwortet
50,315,student,deutschlandticket,
51,316,prof,deutschlandticket,Ja
52,318,niwi,deutschlandticket,Nein
53,319,student,deutschlandticket,
54,320,student,deutschlandticket,
55,321,student,deutschlandticket,
56,323,student,deutschlandticket,
57,330,niwi,deutschlandticket,Nein
58,331,wimi,deutschlandticket,Ja
59,332,wimi,deutschlandticket,Ja
60,333,niwi,deutschlandticket,Nein
61,334,niwi,deutschlandticket,Ich habe schon ein Deutschlandticket o.ä.
62,335,niwi,deutschlandticket,Nein
63,336,niwi,deutschlandticket,Nein
64,337,niwi,deutschlandticket,Nein
65,338,niwi,deutschlandticket,Nein
66,339,wimi,deutschlandticket,Ich habe schon ein Deutschlandticket o.ä.
67,340,wimi,deutschlandticket,Kommt darauf an...
68,342,wimi,deutschlandticket,Nein
69,343,niwi,deutschlandticket,Ich habe schon ein Deutschlandticket o.ä.
70,345,student,deutschlandticket,
71,346,wimi,deutschlandticket,Kommt darauf an...
72,347,student,deutschlandticket,
73,348,wimi,deutschlandticket,Nein
74,349,prof,deutschlandticket,Nein
75,351,niwi,deutschlandticket,Ich habe schon ein Deutschlandticket o.ä.
76,352,niwi,deutschlandticket,Nein
77,355,prof,deutschlandticket,Nein
78,356,other,deutschlandticket,Nein
79,357,niwi,deutschlandticket,Kommt darauf an...
80,358,niwi,deutschlandticket,Nein
81,359,niwi,deutschlandticket,Nein
82,361,wimi,deutschlandticket,Nein
83,362,student,deutschlandticket,
84,363,niwi,deutschlandticket,Ja
85,364,wimi,deutschlandticket,Kommt darauf an...
86,365,wimi,deutschlandticket,Ich habe schon ein Deutschlandticket o.ä.
87,367,niwi,deutschlandticket,Nein
88,368,wimi,deutschlandticket,Ich habe schon ein Deutschlandticket o.ä.
89,369,niwi,deutschlandticket,Kommt darauf an...
90,370,prof,deutschlandticket,Nein
91,371,niwi,deutschlandticket,Nein
92,372,niwi,deutschlandticket,Nein
93,373,niwi,deutschlandticket,Ich habe schon ein Deutschlandticket o.ä.
94,374,wimi,deutschlandticket,Ich habe schon ein Deutschlandticket o.ä.
95,376,niwi,deutschlandticket,Ja
96,377,student,deutschlandticket,Ja
97,378,prof,deutschlandticket,Nein
98,379,niwi,deutschlandticket,Kommt darauf an...
99,380,niwi,deutschlandticket,Kommt darauf an...
100,381,niwi,deutschlandticket,Nein
101,382,niwi,deutschlandticket,Nein
102,384,wimi,deutschlandticket,Ja
103,385,niwi,deutschlandticket,Ja
104,387,wimi,deutschlandticket,Nein
105,388,wimi,deutschlandticket,Nein
106,389,niwi,deutschlandticket,Ja
107,391,niwi,deutschlandticket,Ja
108,392,niwi,deutschlandticket,Nein
109,393,student,deutschlandticket,
110,394,niwi,deutschlandticket,Ich habe schon ein Deutschlandticket o.ä.
111,396,other,deutschlandticket,Kommt darauf an...
112,397,niwi,deutschlandticket,Nein
113,398,niwi,deutschlandticket,Ja
114,400,wimi,deutschlandticket,Ich habe schon ein Deutschlandticket o.ä.
115,401,niwi,deutschlandticket,Ja
116,404,niwi,deutschlandticket,Kommt darauf an...
117,405,student,deutschlandticket,
118,406,wimi,deutschlandticket,Ich habe schon ein Deutschlandticket o.ä.
119,407,niwi,deutschlandticket,Kommt darauf an...
120,408,niwi,deutschlandticket,Ja
121,409,niwi,deutschlandticket,Kommt darauf an...
122,410,wimi,deutschlandticket,Ich habe schon ein Deutschlandticket o.ä.
123,411,prof,deutschlandticket,Nein
124,412,student,deutschlandticket,Ja
125,414,student,deutschlandticket,
126,416,wimi,deutschlandticket,Ich habe schon ein Deutschlandticket o.ä.
127,417,prof,deutschlandticket,Ja
128,419,student,deutschlandticket,
129,421,wimi,deutschlandticket,Nein
130,422,niwi,deutschlandticket,Nein
131,423,wimi,deutschlandticket,Ich habe schon ein Deutschlandticket o.ä.
132,424,prof,deutschlandticket,Nein
133,425,student,deutschlandticket,
134,427,niwi,deutschlandticket,Ja
135,428,student,deutschlandticket,
136,429,niwi,deutschlandticket,Ja
137,430,student,deutschlandticket,Ja
138,431,student,deutschlandticket,Ich habe schon ein Deutschlandticket o.ä.
139,432,niwi,deutschlandticket,Ja
140,433,niwi,deutschlandticket,Ja
141,434,wimi,deutschlandticket,Ich habe schon ein Deutschlandticket o.ä.
142,436,student,deutschlandticket,
143,437,wimi,deutschlandticket,Ja
144,438,niwi,deutschlandticket,Kommt darauf an...
145,441,student,deutschlandticket,
146,442,wimi,deutschlandticket,Ja
147,443,wimi,deutschlandticket,Ja
148,444,wimi,deutschlandticket,Ich habe schon ein Deutschlandticket o.ä.
149,445,wimi,deutschlandticket,Ich habe schon ein Deutschlandticket o.ä.
150,446,wimi,deutschlandticket,Nein
151,448,niwi,deutschlandticket,Nein
152,449,niwi,deutschlandticket,Ja
153,450,niwi,deutschlandticket,Nein
154,451,student,deutschlandticket,Nein
155,453,niwi,deutschlandticket,Ich habe schon ein Deutschlandticket o.ä.
156,454,student,deutschlandticket,
157,455,student,deutschlandticket,
158,456,student,deutschlandticket,
159,457,niwi,deutschlandticket,Ich habe schon ein Deutschlandticket o.ä.
160,458,niwi,deutschlandticket,Nein
161,460,student,deutschlandticket,
162,461,student,deutschlandticket,
163,462,student,deutschlandticket,Ich habe schon ein Deutschlandticket o.ä.
164,463,student,deutschlandticket,
165,464,niwi,deutschlandticket,Nein
166,465,student,deutschlandticket,
167,466,niwi,deutschlandticket,Kommt darauf an...
168,468,student,deutschlandticket,
169,469,student,deutschlandticket,Ich habe schon ein Deutschlandticket o.ä.
170,470,student,deutschlandticket,
171,471,niwi,deutschlandticket,Ja
172,473,wimi,deutschlandticket,Ja
173,474,wimi,deutschlandticket,Ja
174,475,niwi,deutschlandticket,Nein
175,476,prof,deutschlandticket,Ja
176,478,niwi,deutschlandticket,Nein
177,479,student,deutschlandticket,
178,480,student,deutschlandticket,
179,481,wimi,deutschlandticket,Nein
180,482,student,deutschlandticket,
181,483,wimi,deutschlandticket,Ja
182,484,student,deutschlandticket,
183,485,student,deutschlandticket,
184,486,student,deutschlandticket,
185,487,wimi,deutschlandticket,Nein
186,488,niwi,deutschlandticket,Nein
187,489,niwi,deutschlandticket,Ja
188,490,student,deutschlandticket,
189,491,niwi,deutschlandticket,Nein
190,492,student,deutschlandticket,
191,493,prof,deutschlandticket,Nein
192,494,niwi,deutschlandticket,Ja
193,495,niwi,deutschlandticket,Nein
194,496,student,deutschlandticket,Ich habe schon ein Deutschlandticket o.ä.
195,497,niwi,deutschlandticket,Nein
196,500,student,deutschlandticket,
197,501,niwi,deutschlandticket,Ja
198,502,other,deutschlandticket,Nein
199,503,student,deutschlandticket,
200,504,niwi,deutschlandticket,Nein
201,506,prof,deutschlandticket,nicht beantwortet
202,507,prof,deutschlandticket,Ja
203,508,student,deutschlandticket,
204,509,wimi,deutschlandticket,Nein
205,510,niwi,deutschlandticket,Nein
206,511,student,deutschlandticket,
207,512,niwi,deutschlandticket,Kommt darauf an...
208,513,student,deutschlandticket,
209,515,wimi,deutschlandticket,Ich habe schon ein Deutschlandticket o.ä.
210,516,other,deutschlandticket,Nein
211,518,niwi,deutschlandticket,Ja
212,519,niwi,deutschlandticket,Ja
213,520,niwi,deutschlandticket,Ja
214,521,niwi,deutschlandticket,Nein
215,523,wimi,deutschlandticket,Ja
216,524,student,deutschlandticket,
217,525,niwi,deutschlandticket,Nein
218,526,other,deutschlandticket,Ja
219,527,niwi,deutschlandticket,Ja
