,participant_id,status,topic,response
0,254,prof,connection,no_answer
1,254,prof,reliability,no_answer
2,254,prof,park_and_ride,no_answer
3,254,prof,frequency,no_answer
4,254,prof,lower_price,no_answer
5,255,wimi,connection,0
6,255,wimi,reliability,1
7,255,wimi,park_and_ride,-2
8,255,wimi,frequency,1
9,255,wimi,lower_price,-2
10,256,niwi,connection,1
11,256,niwi,reliability,-2
12,256,niwi,park_and_ride,-2
13,256,niwi,frequency,-2
14,256,niwi,lower_price,-2
15,258,prof,connection,no_opinion
16,258,prof,reliability,no_opinion
17,258,prof,park_and_ride,no_opinion
18,258,prof,frequency,no_opinion
19,258,prof,lower_price,no_opinion
20,259,niwi,connection,2
21,259,niwi,reliability,2
22,259,niwi,park_and_ride,2
23,259,niwi,frequency,2
24,259,niwi,lower_price,1
25,260,niwi,connection,2
26,260,niwi,reliability,1
27,260,niwi,park_and_ride,1
28,260,niwi,frequency,0
29,260,niwi,lower_price,2
30,261,wimi,connection,-1
31,261,wimi,reliability,no_opinion
32,261,wimi,park_and_ride,-2
33,261,wimi,frequency,1
34,261,wimi,lower_price,2
35,262,student,connection,-1
36,262,student,reliability,1
37,262,student,park_and_ride,-2
38,262,student,frequency,-2
39,262,student,lower_price,-1
40,263,wimi,connection,2
41,263,wimi,reliability,1
42,263,wimi,park_and_ride,-2
43,263,wimi,frequency,0
44,263,wimi,lower_price,0
45,265,niwi,connection,-1
46,265,niwi,reliability,-1
47,265,niwi,park_and_ride,-1
48,265,niwi,frequency,-1
49,265,niwi,lower_price,2
50,266,niwi,connection,2
51,266,niwi,reliability,2
52,266,niwi,park_and_ride,-2
53,266,niwi,frequency,2
54,266,niwi,lower_price,2
55,267,niwi,connection,no_answer
56,267,niwi,reliability,no_answer
57,267,niwi,park_and_ride,no_answer
58,267,niwi,frequency,no_answer
59,267,niwi,lower_price,no_answer
60,268,niwi,connection,2
61,268,niwi,reliability,2
62,268,niwi,park_and_ride,2
63,268,niwi,frequency,2
64,268,niwi,lower_price,2
65,269,niwi,connection,2
66,269,niwi,reliability,2
67,269,niwi,park_and_ride,0
68,269,niwi,frequency,2
69,269,niwi,lower_price,2
70,270,wimi,connection,no_opinion
71,270,wimi,reliability,no_opinion
72,270,wimi,park_and_ride,no_opinion
73,270,wimi,frequency,no_opinion
74,270,wimi,lower_price,-2
75,271,wimi,connection,1
76,271,wimi,reliability,2
77,271,wimi,park_and_ride,0
78,271,wimi,frequency,2
79,271,wimi,lower_price,0
80,272,wimi,connection,1
81,272,wimi,reliability,2
82,272,wimi,park_and_ride,no_answer
83,272,wimi,frequency,1
84,272,wimi,lower_price,1
85,273,niwi,connection,2
86,273,niwi,reliability,2
87,273,niwi,park_and_ride,0
88,273,niwi,frequency,2
89,273,niwi,lower_price,2
90,275,niwi,connection,no_answer
91,275,niwi,reliability,no_answer
92,275,niwi,park_and_ride,no_answer
93,275,niwi,frequency,no_answer
94,275,niwi,lower_price,no_answer
95,276,niwi,connection,1
96,276,niwi,reliability,1
97,276,niwi,park_and_ride,-2
98,276,niwi,frequency,1
99,276,niwi,lower_price,0
100,278,wimi,connection,1
101,278,wimi,reliability,2
102,278,wimi,park_and_ride,-2
103,278,wimi,frequency,1
104,278,wimi,lower_price,1
105,281,niwi,connection,no_opinion
106,281,niwi,reliability,no_opinion
107,281,niwi,park_and_ride,no_opinion
108,281,niwi,frequency,no_opinion
109,281,niwi,lower_price,no_opinion
110,282,student,connection,-1
111,282,student,reliability,2
112,282,student,park_and_ride,-2
113,282,student,frequency,2
114,282,student,lower_price,2
115,284,niwi,connection,-2
116,284,niwi,reliability,-2
117,284,niwi,park_and_ride,-2
