,participant_id,status,workplace,workplace_other,main_vehicle,topic,response
0,254,prof,Campus,,bicycle,too_expensive,False
1,254,prof,Campus,,bicycle,transition_time,False
2,254,prof,Campus,,bicycle,travel_time,False
3,254,prof,Campus,,bicycle,reliability,False
4,254,prof,Campus,,bicycle,too_crowded,False
5,254,prof,Campus,,bicycle,other,False
6,254,prof,Campus,,bicycle,low_frequency,False
7,254,prof,Campus,,bicycle,no_station,False
8,254,prof,Campus,,bicycle,comfort,False
9,254,prof,Campus,,bicycle,unsafe,False
10,254,prof,Campus,,bicycle,live_near_uni,True
11,255,wimi,Campus,,train-short,too_expensive,False
12,255,wimi,Campus,,train-short,transition_time,False
13,255,wimi,Campus,,train-short,travel_time,False
14,255,wimi,Campus,,train-short,reliability,False
15,255,wimi,Campus,,train-short,too_crowded,False
16,255,wimi,Campus,,train-short,other,True
17,255,wimi,Campus,,train-short,low_frequency,True
18,255,wimi,Campus,,train-short,no_station,False
19,255,wimi,Campus,,train-short,comfort,False
20,255,wimi,Campus,,train-short,unsafe,False
21,255,wimi,Campus,,train-short,live_near_uni,False
22,256,niwi,Campus,,bicycle,too_expensive,False
23,256,niwi,Campus,,bicycle,transition_time,False
24,256,niwi,Campus,,bicycle,travel_time,True
25,256,niwi,Campus,,bicycle,reliability,False
26,256,niwi,Campus,,bicycle,too_crowded,False
27,256,niwi,Campus,,bicycle,other,False
28,256,niwi,Campus,,bicycle,low_frequency,False
29,256,niwi,Campus,,bicycle,no_station,False
30,256,niwi,Campus,,bicycle,comfort,False
31,256,niwi,Campus,,bicycle,unsafe,False
32,256,niwi,Campus,,bicycle,live_near_uni,True
33,258,prof,Sedanstraße,,walk,too_expensive,False
34,258,prof,Sedanstraße,,walk,transition_time,False
35,258,prof,Sedanstraße,,walk,travel_time,False
36,258,prof,Sedanstraße,,walk,reliability,False
37,258,prof,Sedanstraße,,walk,too_crowded,False
38,258,prof,Sedanstraße,,walk,other,True
39,258,prof,Sedanstraße,,walk,low_frequency,False
40,258,prof,Sedanstraße,,walk,no_station,False
41,258,prof,Sedanstraße,,walk,comfort,False
42,258,prof,Sedanstraße,,walk,unsafe,False
43,258,prof,Sedanstraße,,walk,live_near_uni,False
44,259,niwi,Campus,,car-driver,too_expensive,False
45,259,niwi,Campus,,car-driver,transition_time,True
46,259,niwi,Campus,,car-driver,travel_time,True
47,259,niwi,Campus,,car-driver,reliability,False
48,259,niwi,Campus,,car-driver,too_crowded,True
49,259,niwi,Campus,,car-driver,other,False
50,259,niwi,Campus,,car-driver,low_frequency,True
51,259,niwi,Campus,,car-driver,no_station,True
52,259,niwi,Campus,,car-driver,comfort,False
53,259,niwi,Campus,,car-driver,unsafe,False
54,259,niwi,Campus,,car-driver,live_near_uni,False
55,260,niwi,Campus,,car-driver,too_expensive,True
56,260,niwi,Campus,,car-driver,transition_time,True
57,260,niwi,Campus,,car-driver,travel_time,True
58,260,niwi,Campus,,car-driver,reliability,False
59,260,niwi,Campus,,car-driver,too_crowded,False
60,260,niwi,Campus,,car-driver,other,False
61,260,niwi,Campus,,car-driver,low_frequency,False
62,260,niwi,Campus,,car-driver,no_station,False
63,260,niwi,Campus,,car-driver,comfort,False
64,260,niwi,Campus,,car-driver,unsafe,False
65,260,niwi,Campus,,car-driver,live_near_uni,False
66,261,wimi,Campus,,walk,too_expensive,True
67,261,wimi,Campus,,walk,transition_time,False
68,261,wimi,Campus,,walk,travel_time,True
69,261,wimi,Campus,,walk,reliability,False
70,261,wimi,Campus,,walk,too_crowded,True
71,261,wimi,Campus,,walk,other,False
72,261,wimi,Campus,,walk,low_frequency,False
73,261,wimi,Campus,,walk,no_station,False
74,261,wimi,Campus,,walk,comfort,False
75,261,wimi,Campus,,walk,unsafe,False
76,261,wimi,Campus,,walk,live_near_uni,True
77,262,student,Campus,,bus,too_expensive,False
78,262,student,Campus,,bus,transition_time,False
79,262,student,Campus,,bus,travel_time,False
80,262,student,Campus,,bus,reliability,False
81,262,student,Campus,,bus,too_crowded,False
82,262,student,Campus,,bus,other,False
83,262,student,Campus,,bus,low_frequency,False
84,262,student,Campus,,bus,no_station,False
85,262,student,Campus,,bus,comfort,False
86,262,student,Campus,,bus,unsafe,False
87,262,student,Campus,,bus,live_near_uni,False
88,263,wimi,Campus,,car-driver,too_expensive,True
89,263,wimi,Campus,,car-driver,transition_time,True
90,263,wimi,Campus,,car-driver,travel_time,False
91,263,wimi,Campus,,car-driver,reliability,True
92,263,wimi,Campus,,car-driver,too_crowded,False
93,263,wimi,Campus,,car-driver,other,False
94,263,wimi,Campus,,car-driver,low_frequency,True
95,263,wimi,Campus,,car-driver,no_station,True
96,263,wimi,Campus,,car-driver,comfort,True
97,263,wimi,Campus,,car-driver,unsafe,False
98,263,wimi,Campus,,car-driver,live_near_uni,True
99,265,niwi,Campus,,car-driver,too_expensive,True
