,participant_id,status,main_vehicle,topic,response
0,254,prof,bicycle,present,2
1,254,prof,bicycle,future,-2
2,255,wimi,ebike,present,2
3,255,wimi,ebike,future,-1
4,256,niwi,bicycle,present,2
5,256,niwi,bicycle,future,0
6,258,prof,walk,present,2
7,258,prof,walk,future,-2
8,259,niwi,car-driver,present,-1
9,259,niwi,car-driver,future,1
10,260,niwi,car-driver,present,-2
11,260,niwi,car-driver,future,1
12,261,wimi,train-far,present,1
13,261,wimi,train-far,future,-1
14,262,student,bus,present,2
15,262,student,bus,future,-2
16,263,wimi,car-driver,present,0
17,263,wimi,car-driver,future,-1
18,265,niwi,car-driver,present,0
19,265,niwi,car-driver,future,-2
20,266,niwi,car-driver,present,no_opinion
21,266,niwi,car-driver,future,-2
22,267,niwi,bicycle,present,no_answer
23,267,niwi,bicycle,future,no_answer
24,268,niwi,car-driver,present,0
25,268,niwi,car-driver,future,0
26,269,niwi,bus,present,2
27,269,niwi,bus,future,2
28,270,wimi,bicycle,present,2
29,270,wimi,bicycle,future,-2
30,271,wimi,ebike,present,1
31,271,wimi,ebike,future,-1
32,272,wimi,,present,2
33,272,wimi,,future,no_opinion
34,273,niwi,car-driver,present,-1
35,273,niwi,car-driver,future,0
36,275,niwi,car-driver,present,no_opinion
37,275,niwi,car-driver,future,-2
38,276,niwi,car-driver,present,1
39,276,niwi,car-driver,future,0
40,278,wimi,train-short,present,2
41,278,wimi,train-short,future,-1
42,281,niwi,car-driver,present,1
43,281,niwi,car-driver,future,1
44,282,student,,present,0
45,282,student,,future,0
46,284,niwi,bus,present,1
47,284,niwi,bus,future,-1
48,285,niwi,car-driver,present,2
49,285,niwi,car-driver,future,-1
50,286,niwi,ebike,present,2
51,286,niwi,ebike,future,no_opinion
52,287,wimi,ebike,present,2
53,287,wimi,ebike,future,-2
54,288,niwi,car-driver,present,1
55,288,niwi,car-driver,future,1
56,289,niwi,car-driver,present,-1
57,289,niwi,car-driver,future,-1
58,290,niwi,car-driver,present,0
59,290,niwi,car-driver,future,0
60,291,student,bicycle,present,2
61,291,student,bicycle,future,2
62,292,prof,bicycle,present,2
63,292,prof,bicycle,future,-2
64,294,student,train-short,present,2
65,294,student,train-short,future,0
66,295,prof,bicycle,present,2
67,295,prof,bicycle,future,-2
68,296,niwi,car-driver,present,-1
69,296,niwi,car-driver,future,0
70,298,wimi,bus,present,1
71,298,wimi,bus,future,-2
72,299,student,car-driver,present,-2
73,299,student,car-driver,future,-2
74,300,niwi,car-driver,present,0
75,300,niwi,car-driver,future,0
76,301,wimi,,present,1
77,301,wimi,,future,0
78,302,wimi,car-driver,present,0
79,302,wimi,car-driver,future,0
80,303,niwi,,present,-1
81,303,niwi,,future,1
82,304,student,car-driver,present,-1
83,304,student,car-driver,future,-1
84,305,niwi,car-driver,present,2
85,305,niwi,car-driver,future,-2
86,306,wimi,car-driver,present,-1
87,306,wimi,car-driver,future,1
88,307,niwi,car-driver,present,0
89,307,niwi,car-driver,future,0
90,309,wimi,car-driver,present,0
91,309,wimi,car-driver,future,0
92,310,niwi,car-driver,present,-2
93,310,niwi,car-driver,future,-1
94,311,wimi,bicycle,present,2
95,311,wimi,bicycle,future,no_opinion
96,312,niwi,,present,2
97,312,niwi,,future,no_answer
98,314,niwi,car-driver,present,-2
99,314,niwi,car-driver,future,no_answer
100,315,student,train-short,present,2
101,315,student,train-short,future,-1
102,316,prof,car-driver,present,2
103,316,prof,car-driver,future,-1
104,318,niwi,car-driver,present,1
105,318,niwi,car-driver,future,-1
106,319,student,train-short,present,2
107,319,student,train-short,future,-1
108,320,student,bicycle,present,2
109,320,student,bicycle,future,0
110,321,student,train-short,present,1
111,321,student,train-short,future,-1
112,323,student,bus,present,2
113,323,student,bus,future,0
114,330,niwi,ebike,present,2
115,330,niwi,ebike,future,-1
116,331,wimi,bicycle,present,2
117,331,wimi,bicycle,future,no_opinion
118,332,wimi,car-driver,present,-1
119,332,wimi,car-driver,future,0
120,333,niwi,bus,present,2
121,333,niwi,bus,future,0
122,334,niwi,bicycle,present,2
123,334,niwi,bicycle,future,-2
124,335,niwi,car-driver,present,-1
125,335,niwi,car-driver,future,0
126,336,niwi,car-driver,present,-1
127,336,niwi,car-driver,future,1
128,337,niwi,car-driver,present,-1
