,participant_id,plz,employment_status,semester,vl,semester_time,days_present,vehicle,distance_km,distance_km_week,has_changed,is_main_vehicle,car_technology
0,254,93051,prof,ws,True,ws_vl,5,bicycle,2.0,10.0,,True,
1,254,93051,prof,ws,False,ws_free,5,bicycle,2.0,10.0,False,True,
2,254,93051,prof,ss,True,ss_vl,5,bicycle,2.0,10.0,False,True,
3,254,93051,prof,ss,False,ss_free,5,bicycle,2.0,10.0,False,True,
4,255,93164,wimi,ws,True,ws_vl,4,train-short,15.0,60.0,,True,
5,255,93164,wimi,ws,True,ws_vl,4,bus,1.0,4.0,,False,
6,255,93164,wimi,ws,True,ws_vl,4,bicycle,0.5,2.0,,False,
7,255,93164,wimi,ws,False,ws_free,4,train-short,15.0,60.0,False,True,
8,255,93164,wimi,ws,False,ws_free,4,bus,1.0,4.0,False,False,
9,255,93164,wimi,ws,False,ws_free,4,bicycle,0.5,2.0,False,False,
10,255,93164,wimi,ss,True,ss_vl,4,ebike,18.0,72.0,True,True,
11,255,93164,wimi,ss,False,ss_free,4,ebike,18.0,72.0,False,True,
12,256,93051,niwi,ws,True,ws_vl,4,bicycle,2.0,8.0,,True,
13,256,93051,niwi,ws,False,ws_free,4,bicycle,2.0,8.0,False,True,
14,256,93051,niwi,ss,True,ss_vl,4,bicycle,2.0,8.0,False,True,
15,256,93051,niwi,ss,False,ss_free,4,bicycle,2.0,8.0,False,True,
16,258,93047,prof,ws,True,ws_vl,5,walk,0.3,1.5,,True,
17,258,93047,prof,ws,False,ws_free,5,walk,0.3,1.5,False,True,
18,258,93047,prof,ss,True,ss_vl,5,walk,0.3,1.5,False,True,
19,258,93047,prof,ss,False,ss_free,5,walk,0.3,1.5,False,True,
20,259,94345,niwi,ws,True,ws_vl,3,car-driver,80.0,240.0,,True,Benzin
21,259,94345,niwi,ws,False,ws_free,3,car-driver,80.0,240.0,False,True,Benzin
22,259,94345,niwi,ss,True,ss_vl,3,car-driver,80.0,240.0,False,True,Benzin
23,259,94345,niwi,ss,False,ss_free,3,car-driver,80.0,240.0,False,True,Benzin
24,260,84056,niwi,ws,True,ws_vl,2,car-driver,45.0,90.0,,True,Benzin
25,260,84056,niwi,ws,False,ws_free,2,car-driver,45.0,90.0,False,True,Benzin
26,260,84056,niwi,ss,True,ss_vl,2,car-driver,45.0,90.0,False,True,Benzin
27,260,84056,niwi,ss,False,ss_free,2,car-driver,45.0,90.0,False,True,Benzin
28,261,93051,wimi,ws,True,ws_vl,4,walk,0.8,3.2,,True,
29,261,93051,wimi,ws,False,ws_free,3,train-short,200.0,600.0,True,False,
30,261,93051,wimi,ws,False,ws_free,3,train-far,700.0,2100.0,True,True,
31,262,93047,student,ws,True,ws_vl,5,bus,5.0,25.0,,True,
32,262,93047,student,ws,False,ws_free,5,bus,5.0,25.0,False,True,
33,262,93047,student,ss,True,ss_vl,5,bus,5.0,25.0,False,True,
34,262,93047,student,ss,False,ss_free,5,bus,5.0,25.0,False,True,
35,263,93051,wimi,ws,True,ws_vl,5,car-driver,5.0,25.0,,True,Benzin
36,263,93051,wimi,ws,True,ws_vl,5,walk,5.0,25.0,,False,
37,263,93051,wimi,ws,False,ws_free,5,car-driver,5.0,25.0,False,True,Benzin
38,263,93051,wimi,ws,False,ws_free,5,walk,5.0,25.0,False,False,
39,263,93051,wimi,ss,True,ss_vl,5,car-driver,5.0,25.0,False,True,Benzin
40,263,93051,wimi,ss,True,ss_vl,5,walk,5.0,25.0,False,False,
41,263,93051,wimi,ss,False,ss_free,5,car-driver,5.0,25.0,False,True,Benzin
42,263,93051,wimi,ss,False,ss_free,5,walk,5.0,25.0,False,False,
43,265,91052,niwi,ws,True,ws_vl,2,car-driver,130.0,260.0,,True,Benzin
44,265,91052,niwi,ws,False,ws_free,2,car-driver,130.0,260.0,False,True,Benzin
45,265,91052,niwi,ss,True,ss_vl,2,car-driver,130.0,260.0,False,True,Benzin
46,265,91052,niwi,ss,False,ss_free,2,car-driver,130.0,260.0,False,True,Benzin
47,266,93352,niwi,ws,True,ws_vl,0,car-driver,34.0,0.0,,True,Diesel
48,266,93352,niwi,ws,False,ws_free,0,car-driver,34.0,0.0,False,True,Diesel
49,266,93352,niwi,ss,True,ss_vl,0,car-driver,34.0,0.0,False,True,Diesel
50,266,93352,niwi,ss,False,ss_free,0,car-driver,34.0,0.0,False,True,Diesel
51,267,93051,niwi,ws,True,ws_vl,5,bicycle,3.0,15.0,,True,
52,267,93051,niwi,ws,False,ws_free,5,bicycle,3.0,15.0,False,True,
53,267,93051,niwi,ss,True,ss_vl,5,bicycle,3.0,15.0,False,True,
54,267,93051,niwi,ss,False,ss_free,5,bicycle,3.0,15.0,False,True,
55,268,84030,niwi,ws,True,ws_vl,3,car-driver,67.0,201.0,,True,Diesel
56,268,84030,niwi,ws,False,ws_free,3,car-driver,67.0,201.0,False,True,Diesel
57,268,84030,niwi,ss,True,ss_vl,3,car-driver,67.0,201.0,False,True,Diesel
58,268,84030,niwi,ss,False,ss_free,3,car-driver,67.0,201.0,False,True,Diesel
59,269,93051,niwi,ws,True,ws_vl,5,bus,1.0,5.0,,True,
60,269,93051,niwi,ws,True,ws_vl,5,walk,1.0,5.0,,False,
61,269,93051,niwi,ws,False,ws_free,5,bus,1.0,5.0,True,True,
62,269,93051,niwi,ws,False,ws_free,5,walk,1.0,5.0,True,False,
63,269,93051,niwi,ss,True,ss_vl,5,bus,1.0,5.0,False,True,
64,269,93051,niwi,ss,True,ss_vl,5,walk,1.0,5.0,False,False,
65,269,93051,niwi,ss,False,ss_free,5,bus,1.0,5.0,False,True,
66,269,93051,niwi,ss,False,ss_free,5,walk,1.0,5.0,False,False,
67,270,93051,wimi,ws,True,ws_vl,5,bicycle,2.0,10.0,,True,
68,270,93051,wimi,ws,False,ws_free,5,bicycle,2.0,10.0,False,True,
69,270,93051,wimi,ss,True,ss_vl,5,bicycle,2.0,10.0,False,True,
70,270,93051,wimi,ss,False,ss_free,5,bicycle,2.0,10.0,False,True,
71,271,93059,wimi,ws,True,ws_vl,4,ebike,4.9,19.6,,True,
72,271,93059,wimi,ws,False,ws_free,2,ebike,4.9,9.8,True,True,
73,271,93059,wimi,ss,True,ss_vl,4,ebike,4.9,19.6,False,True,
74,271,93059,wimi,ss,False,ss_free,2,ebike,4.9,9.8,False,True,
75,272,81541,wimi,ws,True,ws_vl,1,train-short,0.0,0.0,,True,
76,272,81541,wimi,ws,True,ws_vl,1,bus,0.0,0.0,,False,
77,272,81541,wimi,ws,False,ws_free,1,train-short,0.0,0.0,False,True,
78,272,81541,wimi,ws,False,ws_free,1,bus,0.0,0.0,False,False,
79,273,93197,niwi,ws,True,ws_vl,3,car-driver,8.0,24.0,,True,Benzin
80,273,93197,niwi,ws,False,ws_free,3,car-driver,8.0,24.0,False,True,Benzin
81,273,93197,niwi,ss,True,ss_vl,3,car-driver,8.0,24.0,False,True,Benzin
82,273,93197,niwi,ss,False,ss_free,3,car-driver,8.0,24.0,False,True,Benzin
83,275,84069,niwi,ws,True,ws_vl,3,car-driver,35.0,105.0,,True,Benzin
84,275,84069,niwi,ws,False,ws_free,3,car-driver,35.0,105.0,False,True,Benzin
85,275,84069,niwi,ss,True,ss_vl,3,car-driver,35.0,105.0,False,True,Benzin
86,275,84069,niwi,ss,False,ss_free,3,car-driver,35.0,105.0,False,True,Benzin
87,276,93053,niwi,ws,True,ws_vl,5,car-driver,5.0,25.0,,True,Elektro
88,276,93053,niwi,ws,False,ws_free,5,car-driver,5.0,25.0,False,True,Elektro
89,276,93053,niwi,ss,True,ss_vl,5,ebike,4.0,20.0,True,True,
90,276,93053,niwi,ss,False,ss_free,5,ebike,4.0,20.0,False,True,
91,278,85737,wimi,ws,True,ws_vl,3,train-short,120.0,360.0,,True,
92,278,85737,wimi,ws,True,ws_vl,3,bus,2.0,6.0,,False,
93,278,85737,wimi,ws,False,ws_free,0,train-short,0.0,0.0,True,True,
94,278,85737,wimi,ws,False,ws_free,0,bus,0.0,0.0,True,False,
95,278,85737,wimi,ss,True,ss_vl,1,train-short,0.0,0.0,True,True,
96,278,85737,wimi,ss,True,ss_vl,1,bus,0.0,0.0,True,False,
97,278,85737,wimi,ss,False,ss_free,1,train-short,0.0,0.0,False,True,
98,278,85737,wimi,ss,False,ss_free,1,bus,0.0,0.0,False,False,
99,281,93090,niwi,ws,True,ws_vl,3,car-driver,20.0,60.0,,True,Diesel
100,281,93090,niwi,ws,False,ws_free,3,car-driver,20.0,60.0,False,True,Diesel
101,281,93090,niwi,ss,True,ss_vl,3,car-driver,20.0,60.0,False,True,Diesel
102,281,93090,niwi,ss,False,ss_free,3,car-driver,20.0,60.0,False,True,Diesel
103,282,93047,student,ws,True,ws_vl,2,car-driver,0.0,0.0,,True,Benzin
104,282,93047,student,ws,True,ws_vl,2,bus,0.0,0.0,,False,
105,282,93047,student,ws,False,ws_free,1,car-driver,0.0,0.0,True,True,Benzin
106,282,93047,student,ss,True,ss_vl,2,car-driver,0.0,0.0,False,True,Benzin
107,282,93047,student,ss,True,ss_vl,2,bus,0.0,0.0,False,False,
108,282,93047,student,ss,False,ss_free,1,car-driver,0.0,0.0,False,True,Benzin
109,284,93051,niwi,ws,True,ws_vl,5,bus,3.0,15.0,,True,
110,284,93051,niwi,ws,False,ws_free,5,bus,3.0,15.0,False,True,
111,284,93051,niwi,ss,True,ss_vl,5,bus,3.0,15.0,False,True,
112,284,93051,niwi,ss,False,ss_free,5,bus,3.0,15.0,False,True,
113,285,93197,niwi,ws,True,ws_vl,3,car-driver,16.0,48.0,,True,Elektro
114,285,93197,niwi,ws,False,ws_free,3,car-driver,16.0,48.0,False,True,Elektro
115,285,93197,niwi,ss,True,ss_vl,3,car-driver,16.0,48.0,False,True,Elektro
116,285,93197,niwi,ss,False,ss_free,3,car-driver,16.0,48.0,False,True,Elektro
117,286,93077,niwi,ws,True,ws_vl,5,ebike,11.0,55.0,,True,
118,286,93077,niwi,ws,False,ws_free,5,ebike,11.0,55.0,False,True,
119,286,93077,niwi,ss,True,ss_vl,5,ebike,11.0,55.0,False,True,
120,286,93077,niwi,ss,False,ss_free,5,ebike,11.0,55.0,False,True,
121,287,93051,wimi,ws,True,ws_vl,5,ebike,2.5,12.5,,True,
122,287,93051,wimi,ws,False,ws_free,5,ebike,2.5,12.5,False,True,
123,287,93051,wimi,ss,True,ss_vl,5,ebike,2.5,12.5,False,True,
124,287,93051,wimi,ss,False,ss_free,5,ebike,2.5,12.5,False,True,
125,288,94374,niwi,ws,True,ws_vl,5,car-driver,60.0,300.0,,True,Diesel
126,288,94374,niwi,ws,False,ws_free,5,car-driver,60.0,300.0,False,True,Diesel
127,288,94374,niwi,ss,True,ss_vl,5,car-driver,60.0,300.0,False,True,Diesel
128,288,94374,niwi,ss,False,ss_free,5,car-driver,60.0,300.0,False,True,Diesel
129,289,93170,niwi,ws,True,ws_vl,3,car-driver,20.0,60.0,,True,Diesel
130,289,93170,niwi,ws,False,ws_free,3,car-driver,20.0,60.0,False,True,Diesel
131,289,93170,niwi,ss,True,ss_vl,3,car-driver,20.0,60.0,False,True,Diesel
132,289,93170,niwi,ss,False,ss_free,3,car-driver,20.0,60.0,False,True,Diesel
133,290,93051,niwi,ws,True,ws_vl,5,car-driver,3.0,15.0,,True,Diesel
134,290,93051,niwi,ws,True,ws_vl,5,bicycle,3.0,15.0,,False,
135,290,93051,niwi,ws,False,ws_free,5,car-driver,3.0,15.0,False,True,Diesel
136,290,93051,niwi,ws,False,ws_free,5,bicycle,3.0,15.0,False,False,
137,290,93051,niwi,ss,True,ss_vl,5,car-driver,0.0,0.0,True,True,Diesel
138,290,93051,niwi,ss,True,ss_vl,5,bicycle,0.0,0.0,True,False,
